CMS_cert_no,Fac_name,City,State,Zip,Region,year,N,cost_charge,wage_indx,Rural,dis_share,census,ownership,teaching,freestanding,avg_wt,I_001_01,I_001_01.note,I_001_01.denom,I_001_01.start,I_001_01.end,I_001_02,I_001_02.note,I_001_02.denom,I_001_02.numer,I_001_02.obs,I_001_02.start,I_001_02.end,I_002_01.obs,I_002_01.note,I_002_01.denom,I_002_01.numer,I_002_01.start,I_002_01.end,I_006_01,I_006_01.note,I_006_01.cilo,I_006_01.ciup,I_006_01.grade,I_006_01.days,I_006_01.N,I_006_01.numer,I_006_01.start,I_006_01.end,I_007_01,I_007_01.note,I_007_01.grade,I_007_01.cilo,I_007_01.ciup,I_007_01.N,I_007_01.start,I_007_01.end,I_008_01,I_008_01.note,I_008_01.denom,I_008_01.numer,I_008_01.start,I_008_01.end,I_013_01,I_013_01.note,I_013_01.denom,I_013_01.numer,I_013_01.start,I_013_01.end,I_014_01,I_014_01.note,I_014_01.cilo,I_014_01.ciup,I_014_01.grade,I_014_01.days,I_014_01.N,I_014_01.numer,I_014_01.start,I_014_01.end,I_015_01,I_015_01.note,I_015_01.cilo,I_015_01.ciup,I_015_01.grade,I_015_01.days,I_015_01.N,I_015_01.numer,I_015_01.start,I_015_01.end,I_016_01,I_016_01.note,I_016_01.denom,I_016_01.numer,I_016_01.start,I_016_01.end,I_019_01,I_019_01.note,I_019_01.cilo,I_019_01.ciup,I_019_01.obs,I_019_01.grade,I_019_01.numb,I_019_01.N,I_019_01.start,I_019_01.end,I_020_01,I_020_01.note,I_020_01.numb,I_020_01.start,I_020_01.end
10011,ST. VINCENTS EAST REHABILITATION CENTER,BIRMINGHAM,AL,35235,4,2016,96,0.34,0.82,0,0.07,5,N,0.00,0,1.29,0.40,,209,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,12.36,,Better than the National Rate,12.13,12.63,167,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,ST. VINCENTS EAST REHABILITATION CENTER,BIRMINGHAM,AL,35235,4,2017,107,0.31,0.82,0,0.10,5,N,0.00,0,1.22,0.00,,255,1-Jan-16,31-Dec-16,,,,,,,,95.80,,144,,1-Oct-15,31-Mar-16,,7,,,,435,1,1,1-Jan-16,31-Dec-16,12.70,,Better than the National Rate,12.43,12.94,172,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,4455,0,0,1-Jan-16,31-Dec-16,5.91,,2.40,12.30,Worse than the National Benchmark,4455,1,6,1-Jan-16,31-Dec-16,34.00,,32,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
10011,ST. VINCENTS EAST REHABILITATION CENTER,BIRMINGHAM,AL,35235,4,2018,139,0.30,0.81,0,0.05,5,N,0.00,0,1.12,,,,,,0.30,,206,1,0.50,1-Oct-16,30-Sep-17,95.80,,144,138,1-Oct-15,31-Mar-16,,7,,,,522,1,1,1-Oct-16,30-Sep-17,,,,,,,,,99.00,,204,202,1-Jan-17,31-Dec-17,0.50,,204,1,1-Jan-17,31-Dec-17,,7,,,,4064,0,0,1-Oct-16,30-Sep-17,2.07,,0.53,5.62,No Different than the National Benchmark,4064,1,3,1-Oct-16,30-Sep-17,34.00,,32,11,1-Oct-15,31-Mar-16,65.49,,65.06,65.87,66.84,Better than the National Rate,129,193,1-Oct-15,30-Sep-17,1.03,,182,1-Oct-15,30-Sep-17
10029,EAMC- LANIER,OPELIKA,AL,36801,4,2017,,,,,,,,,,,,,,1-Jan-16,31-Dec-16,,,,,,,,,,,,1-Oct-15,31-Mar-16,,,,,,25,0,0,1-Jan-16,31-Dec-16,,2,,,,,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,,,,,688,0,0,1-Jan-16,31-Dec-16,,,,,,688,0,0,1-Jan-16,31-Dec-16,,5,,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
10029,EAMC- LANIER,OPELIKA,AL,36801,4,2018,,,,,,,,,,,,,,,,0.30,,193,1,0.50,1-Oct-16,30-Sep-17,,5,,,1-Oct-15,31-Mar-16,,7,,,,100,0,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,207,207,1-Jan-17,31-Dec-17,0.50,,207,1,1-Jan-17,31-Dec-17,,7,,,,3443,0,0,1-Oct-16,30-Sep-17,0.00,,,2.19,No Different than the National Benchmark,3443,1,0,1-Oct-16,30-Sep-17,,5,,,1-Oct-15,31-Mar-16,67.52,,67.10,67.98,66.67,Better than the National Rate,78,117,1-Oct-15,30-Sep-17,0.96,,118,1-Oct-15,30-Sep-17
10033,SPAIN REHABILITATION CENTER,BIRMINGHAM,AL,35249,4,2016,332,0.36,0.82,0,0.21,5,G,0.17,0,1.38,1.00,,427,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,12.77,,Better than the National Rate,12.54,12.99,472,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,SPAIN REHABILITATION CENTER,BIRMINGHAM,AL,35249,4,2017,351,0.33,0.82,0,0.23,5,G,0.17,0,1.30,0.50,,493,1-Jan-16,31-Dec-16,,,,,,,,96.80,,219,,1-Oct-15,31-Mar-16,1.62,,0.27,5.36,No Different than the National Benchmark,596,1,2,1-Jan-16,31-Dec-16,13.92,,Worse than the National Rate,13.70,14.13,493,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,15709,0,0,1-Jan-16,31-Dec-16,1.14,,0.50,2.26,No Different than the National Benchmark,15709,6,7,1-Jan-16,31-Dec-16,46.00,,157,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
10033,SPAIN REHABILITATION CENTER,BIRMINGHAM,AL,35249,4,2018,366,0.34,0.81,0,0.25,5,G,0.17,0,1.29,,,,,,0.40,,424,2,0.50,1-Oct-16,30-Sep-17,96.80,,219,212,1-Oct-15,31-Mar-16,,7,,,,406,1,3,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,404,404,1-Jan-17,31-Dec-17,0.00,,404,0,1-Jan-17,31-Dec-17,,7,,,,15778,0,1,1-Oct-16,30-Sep-17,0.10,,0.01,0.50,Better than the National Benchmark,15778,10,1,1-Oct-16,30-Sep-17,46.00,,157,72,1-Oct-15,31-Mar-16,68.85,,68.41,69.28,63.27,Better than the National Rate,317,501,1-Oct-15,30-Sep-17,0.99,,450,1-Oct-15,30-Sep-17
10092,NORTHPORT MEDICAL CENTER,TUSCALOOSA,AL,35401,4,2016,525,0.40,0.84,0,0.13,5,G,0.00,0,1.24,0.60,,561,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,14.19,,Worse than the National Rate,13.94,14.45,851,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092,NORTHPORT MEDICAL CENTER,TUSCALOOSA,AL,35401,4,2017,499,0.39,0.82,0,0.10,5,G,0.00,0,1.21,1.50,,513,1-Jan-16,31-Dec-16,,,,,,,,99.40,,324,,1-Oct-15,31-Mar-16,3.21,,1.30,6.68,Worse than the National Benchmark,983,2,6,1-Jan-16,31-Dec-16,13.50,,No Different than the National Rate,13.26,13.70,848,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,10004,0,1,1-Jan-16,31-Dec-16,3.58,,1.66,6.79,Worse than the National Benchmark,10004,2,8,1-Jan-16,31-Dec-16,52.00,,123,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
