"facility.id","year","facility.name","city","state","zip","region","census","n.discharge","cost.charge.ratio","wage.index","rural","dsh","ownership","teaching","teaching.yn","freestanding","population.severity","bedsores.v1","bedsores.v2","cauti","readmit30","falls","cdi","home","pt.flu","functional","hc.flu","mspb","cauti.grade","readmit30.grade","cdi.grade","home.grade","cauti.good","readmit30.good","cdi.good","home.good"
"10011",2016,"ST. VINCENTS EAST REHABILITATION CENTER","BIRMINGHAM","AL","35235","4",5,96,0.34,0.82,0,0.07,"N",0,0,0,1.29,0.4,NA,NA,12.36,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"10011",2017,"ST. VINCENTS EAST REHABILITATION CENTER","BIRMINGHAM","AL","35235","4",5,107,0.31,0.82,0,0.1,"N",0,0,0,1.22,0,NA,NA,12.7,NA,5.91,NA,95.8,NA,34,NA,NA,"Better than the National Rate","Worse than the National Benchmark",NA,NA,1,0,NA
"10011",2018,"ST. VINCENTS EAST REHABILITATION CENTER","BIRMINGHAM","AL","35235","4",5,139,0.3,0.81,0,0.05,"N",0,0,0,1.12,NA,0.3,NA,NA,0.5,2.07,65.49,NA,99,NA,1.03,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"10029",2017,"EAMC- LANIER","OPELIKA","AL","36801","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10029",2018,"EAMC- LANIER","OPELIKA","AL","36801","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.5,0,67.52,NA,100,NA,0.96,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"10033",2016,"SPAIN REHABILITATION CENTER","BIRMINGHAM","AL","35249","4",5,332,0.36,0.82,0,0.21,"G",0.17,1,0,1.38,1,NA,NA,12.77,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"10033",2017,"SPAIN REHABILITATION CENTER","BIRMINGHAM","AL","35249","4",5,351,0.33,0.82,0,0.23,"G",0.17,1,0,1.3,0.5,NA,1.62,13.92,NA,1.14,NA,96.8,NA,46,NA,"No Different than the National Benchmark","Worse than the National Rate","No Different than the National Benchmark",NA,0,0,0,NA
"10033",2018,"SPAIN REHABILITATION CENTER","BIRMINGHAM","AL","35249","4",5,366,0.34,0.81,0,0.25,"G",0.17,1,0,1.29,NA,0.4,NA,NA,0,0.1,68.85,NA,100,NA,0.99,NA,NA,"Better than the National Benchmark","Better than the National Rate",NA,NA,1,1
"10092",2016,"NORTHPORT MEDICAL CENTER","TUSCALOOSA","AL","35401","4",5,525,0.4,0.84,0,0.13,"G",0,0,0,1.24,0.6,NA,NA,14.19,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"10092",2017,"NORTHPORT MEDICAL CENTER","TUSCALOOSA","AL","35401","4",5,499,0.39,0.82,0,0.1,"G",0,0,0,1.21,1.5,NA,3.21,13.5,NA,3.58,NA,99.4,NA,52,NA,"Worse than the National Benchmark","No Different than the National Rate","Worse than the National Benchmark",NA,0,0,0,NA
