"FaciltyId","Year","Measure","Note"
"10113",2017,"I_001_01","2"
"30030",2016,"I_001_01","3"
"33039",2017,"I_001_01","3"
"43035",2017,"I_001_01","3"
"50016",2016,"I_001_01","5"
"50016",2017,"I_001_01","5"
"50018",2016,"I_001_01","5"
"50018",2017,"I_001_01","5"
"50158",2016,"I_001_01","5"
"50158",2017,"I_001_01","5"
"50167",2016,"I_001_01","5"
"50167",2017,"I_001_01","5"
"50236",2016,"I_001_01","5"
"50236",2017,"I_001_01","5"
"50262",2017,"I_001_01","3"
"50283",2016,"I_001_01","5"
"50283",2017,"I_001_01","5"
"50305",2016,"I_001_01","5"
"50305",2017,"I_001_01","5"
"50441",2016,"I_001_01","5"
"50441",2017,"I_001_01","5"
"50471",2016,"I_001_01","5"
"50471",2017,"I_001_01","5"
"50498",2016,"I_001_01","5"
"50498",2017,"I_001_01","5"
"50580",2016,"I_001_01","5"
"50580",2017,"I_001_01","5"
"50603",2016,"I_001_01","5"
"50603",2017,"I_001_01","5"
"50625",2017,"I_001_01","3"
"50782",2017,"I_001_01","3"
"53038",2016,"I_001_01","5"
"53038",2017,"I_001_01","5"
"60001",2016,"I_001_01","5"
"60001",2017,"I_001_01","5"
"60011",2017,"I_001_01","1"
"60014",2016,"I_001_01","5"
"60014",2017,"I_001_01","5"
"60022",2017,"I_001_01","2"
"100014",2016,"I_001_01","5"
"100067",2016,"I_001_01","5"
"100135",2016,"I_001_01","5"
"100218",2016,"I_001_01","5"
"100226",2017,"I_001_01","3"
"100249",2017,"I_001_01","3"
"100290",2017,"I_001_01","3"
"110003",2016,"I_001_01","3"
"110010",2016,"I_001_01","5"
"113033",2016,"I_001_01","3"
"130049",2016,"I_001_01","5"
"130049",2017,"I_001_01","5"
"140008",2017,"I_001_01","3"
"140075",2016,"I_001_01","5"
"140100",2016,"I_001_01","5"
"140135",2016,"I_001_01","5"
"140135",2017,"I_001_01","5"
"140239",2016,"I_001_01","5"
"140239",2017,"I_001_01","5"
"140276",2017,"I_001_01","3"
"150064",2016,"I_001_01","5"
"170013",2016,"I_001_01","5"
"170023",2016,"I_001_01","3"
"170175",2016,"I_001_01","5"
"173032",2016,"I_001_01","3"
"173033",2016,"I_001_01","3"
"180009",2016,"I_001_01","5"
"180009",2017,"I_001_01","5"
"180056",2016,"I_001_01","5"
"180056",2017,"I_001_01","5"
"190005",2016,"I_001_01","5"
"190115",2016,"I_001_01","5"
"193096",2016,"I_001_01","3"
"193097",2017,"I_001_01","3"
"210001",2016,"I_001_01","5"
"210025",2016,"I_001_01","8"
"210055",2016,"I_001_01","8"
"213028",2016,"I_001_01","8"
"213029",2016,"I_001_01","8"
"220051",2016,"I_001_01","5"
"230004",2016,"I_001_01","5"
"230013",2016,"I_001_01","5"
"230013",2017,"I_001_01","5"
"230021",2017,"I_001_01","3"
"230077",2016,"I_001_01","5"
"230077",2017,"I_001_01","5"
"230087",2016,"I_001_01","5"
"230093",2016,"I_001_01","3"
"230093",2017,"I_001_01","5"
"230301",2016,"I_001_01","5"
"230301",2017,"I_001_01","5"
"240063",2016,"I_001_01","5"
"240063",2017,"I_001_01","5"
"240064",2016,"I_001_01","5"
"240064",2017,"I_001_01","5"
"240196",2016,"I_001_01","5"
